experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,baseline,succeeded,0,36.28,166.38,0,0,0,,0.274
2,baseline,succeeded,0,32.343,141.64,0,0,0,,0.2539
3,baseline,succeeded,0,32.358,132.8,0,0,0,,0.2595
4,baseline,succeeded,0,32.301,133.18,0,0,0,,0.233
5,baseline,succeeded,1,36.161,151.21,0,0,0,,0.2631
6,baseline,succeeded,0,32.119,132.19,0,0,0,,0.2517
7,baseline,succeeded,0,32.163,128.91,0,0,0,,0.2414
8,baseline,succeeded,0,32.015,130.71,0,0,0,,0.2509
9,baseline,succeeded,0,32.02,130.04,0,0,0,,0.2523
10,baseline,succeeded,0,32.202,129.2,0,0,0,,0.2472
11,baseline,succeeded,0,32.017,128.13,0,0,0,,0.2398
12,baseline,succeeded,0,32.047,130.67,0,0,0,,0.2421
13,baseline,succeeded,0,32.154,130.0,0,0,0,,0.244
14,baseline,succeeded,0,32.312,127.86,0,0,0,,0.2367
15,baseline,succeeded,0,32.169,128.52,0,0,0,,0.2393
16,baseline,succeeded,0,32.177,129.3,0,0,0,,0.2385
17,baseline,succeeded,0,32.438,131.74,0,0,0,,0.2429
18,baseline,succeeded,0,32.281,131.57,0,0,0,,0.254
19,baseline,succeeded,0,32.161,132.92,0,0,0,,0.2486
20,baseline,succeeded,0,32.23,130.41,0,0,0,,0.2476
21,baseline,succeeded,0,32.216,128.08,0,0,0,,0.241
22,baseline,succeeded,0,32.498,128.04,0,0,0,,0.2385
23,baseline,succeeded,0,32.34,130.39,0,0,0,,0.2613
24,baseline,succeeded,0,32.311,126.45,0,0,0,,0.2459
25,baseline,succeeded,0,32.114,129.7,0,0,0,,0.2385
1,dynamic,aborted,1,15.435,44.68,8,6,3,0.085,0.7011
2,dynamic,aborted,1,0.948,3.78,0,1,0,1.03,0.6293
3,dynamic,succeeded,1,36.7,104.31,20,16,5,0.048,0.587
4,dynamic,aborted,1,24.47,68.37,10,11,4,0.052,0.7437
5,dynamic,aborted,1,4.244,11.54,2,4,0,0.71,0.5983
6,dynamic,aborted,1,9.383,27.51,3,5,1,0.413,0.5668
7,dynamic,aborted,1,15.757,64.14,7,7,4,0.11,0.5913
8,dynamic,aborted,1,13.034,39.7,5,5,3,0.128,0.6532
9,dynamic,aborted,1,25.169,146.94,14,12,5,0.251,0.5713
10,dynamic,aborted,1,10.083,30.94,3,5,0,0.458,0.5479
11,dynamic,aborted,1,18.484,64.88,6,7,2,0.13,0.7515
12,dynamic,aborted,1,22.747,65.61,9,10,3,0.367,0.6324
13,dynamic,succeeded,0,43.092,107.2,7,8,3,0.208,0.4535
14,dynamic,aborted,1,4.002,10.98,3,4,0,0.837,0.5046
15,dynamic,aborted,1,0.001,0.69,0,1,0,1.142,1.1468
16,dynamic,aborted,1,28.55,84.52,8,8,3,0.033,0.7092
17,dynamic,aborted,1,10.426,32.24,4,5,1,0.161,0.7232
18,dynamic,aborted,1,5.975,15.89,1,3,1,0.253,0.695
19,dynamic,succeeded,0,29.467,82.71,6,8,4,0.041,0.4605
20,dynamic,aborted,1,35.453,133.05,9,18,5,0.116,0.6466
21,dynamic,aborted,1,23.891,99.95,17,13,1,0.085,0.5289
22,dynamic,aborted,1,35.942,121.14,15,13,7,0.126,0.5175
23,dynamic,aborted,1,14.723,40.72,5,4,1,0.06,0.4479
24,dynamic,aborted,1,24.377,67.02,8,7,3,0.088,0.6188
25,dynamic,timeout,0,27.293,213.42,18,18,7,0.041,0.313
1,dynamic_astar,succeeded,1,37.679,100.17,9,18,6,0.303,0.5142
2,dynamic_astar,succeeded,0,33.81,88.48,7,10,2,0.149,0.4864
3,dynamic_astar,succeeded,0,32.713,85.12,4,7,3,0.266,0.4489
4,dynamic_astar,succeeded,0,32.634,84.49,6,6,4,0.135,0.4303
5,dynamic_astar,timeout,0,10.986,209.4,22,23,18,0.068,0.2607
6,dynamic_astar,timeout,0,15.234,212.95,22,23,17,0.121,0.3063
7,dynamic_astar,succeeded,1,37.643,103.94,12,27,3,0.116,0.5823
8,dynamic_astar,succeeded,0,32.674,83.94,5,7,4,0.017,0.406
9,dynamic_astar,succeeded,0,32.621,84.76,4,7,3,0.132,0.4478
10,dynamic_astar,succeeded,0,32.658,82.83,7,6,4,0.116,0.4171
11,dynamic_astar,succeeded,0,32.426,82.43,4,7,3,0.133,0.395
12,dynamic_astar,succeeded,0,32.465,84.06,4,9,3,0.077,0.4228
13,dynamic_astar,succeeded,0,32.723,82.73,10,6,3,0.016,0.4411
14,dynamic_astar,succeeded,0,36.358,106.42,8,9,2,0.12,0.4856
15,dynamic_astar,succeeded,0,32.481,82.74,7,6,4,0.062,0.375
16,dynamic_astar,succeeded,0,32.454,83.63,4,7,5,0.09,0.4367
17,dynamic_astar,timeout,1,8.689,213.58,1,2,1,0.26,0.2682
18,dynamic_astar,succeeded,1,37.399,104.53,9,13,4,0.122,0.4817
19,dynamic_astar,succeeded,1,37.559,106.66,9,11,3,0.022,0.4508
20,dynamic_astar,timeout,0,11.092,230.78,22,23,19,0.079,0.2367
21,dynamic_astar,succeeded,0,37.31,105.41,8,11,4,0.066,0.4668
22,dynamic_astar,succeeded,0,32.287,82.86,6,8,4,0.077,0.3887
23,dynamic_astar,succeeded,0,32.306,81.99,7,6,6,0.047,0.3824
24,dynamic_astar,succeeded,0,32.272,83.45,6,6,3,0.105,0.4107
25,dynamic_astar,succeeded,0,32.583,84.49,7,6,3,0.048,0.4331
1,dynamic_dstar,succeeded,0,37.579,107.16,10,11,2,0.032,0.5689
2,dynamic_dstar,succeeded,0,32.927,84.16,4,6,4,0.049,0.4719
3,dynamic_dstar,succeeded,0,32.616,85.58,6,8,2,0.089,0.5156
4,dynamic_dstar,timeout,0,10.88,203.53,19,21,18,0.063,0.3239
5,dynamic_dstar,succeeded,0,37.976,106.67,9,11,3,0.128,0.5123
6,dynamic_dstar,succeeded,0,32.82,84.07,5,7,2,0.044,0.4667
7,dynamic_dstar,succeeded,0,33.646,87.97,8,8,1,0.075,0.5247
8,dynamic_dstar,succeeded,0,32.916,83.56,9,7,2,0.025,0.4511
9,dynamic_dstar,succeeded,0,33.015,89.86,5,6,1,0.157,0.6392
10,dynamic_dstar,succeeded,0,33.199,103.39,14,11,6,0.018,0.6222
11,dynamic_dstar,timeout,0,33.474,220.77,19,19,19,0.056,0.5207
12,dynamic_dstar,succeeded,0,37.889,107.36,9,11,1,0.095,0.5191
13,dynamic_dstar,succeeded,0,33.237,87.52,5,6,4,0.177,0.5129
14,dynamic_dstar,succeeded,0,32.987,85.54,6,7,2,0.105,0.4786
15,dynamic_dstar,succeeded,0,33.177,84.79,4,7,2,0.06,0.4752
16,dynamic_dstar,succeeded,0,33.314,85.31,4,7,2,0.191,0.5072
17,dynamic_dstar,succeeded,1,39.146,117.02,12,18,3,0.092,0.559
18,dynamic_dstar,succeeded,1,37.521,101.55,9,13,2,0.07,0.5267
19,dynamic_dstar,succeeded,0,33.03,84.45,7,11,5,0.125,0.4368
20,dynamic_dstar,succeeded,0,33.117,86.32,4,10,2,0.189,0.4809
21,dynamic_dstar,succeeded,0,32.77,85.72,5,5,3,0.398,0.4591
22,dynamic_dstar,timeout,0,24.708,228.29,32,34,2,0.104,0.3155
23,dynamic_dstar,succeeded,0,37.444,103.94,12,13,2,0.086,0.536
24,dynamic_dstar,succeeded,0,32.775,86.64,5,7,2,0.266,0.4984
25,dynamic_dstar,succeeded,0,32.923,85.7,5,8,2,0.263,0.39
1,social,succeeded,0,36.334,118.41,8,15,2,0.055,0.3284
2,social,timeout,0,30.879,146.04,12,21,8,0.027,0.3205
3,social,succeeded,0,36.978,105.13,9,11,3,0.232,0.3639
4,social,timeout,0,19.616,149.97,22,22,4,0.062,0.205
5,social,succeeded,0,36.199,95.5,12,14,3,0.11,0.2864
6,social,succeeded,0,31.968,130.32,10,13,7,0.3,0.2603
7,social,succeeded,1,36.174,106.96,7,11,5,0.245,0.2841
8,social,succeeded,0,32.206,86.4,7,8,5,0.128,0.257
9,social,succeeded,0,33.401,94.06,8,16,4,0.281,0.3215
10,social,succeeded,1,36.329,95.14,8,10,5,0.228,0.2526
11,social,succeeded,0,32.35,81.72,4,4,0,0.519,0.2419
12,social,succeeded,0,32.205,84.88,5,6,3,0.09,0.2237
13,social,succeeded,0,32.275,125.49,12,16,2,0.373,0.2411
14,social,succeeded,0,32.085,82.57,5,7,0,0.548,0.2283
15,social,succeeded,0,34.482,106.2,9,14,2,0.329,0.2468
16,social,succeeded,1,36.744,104.37,6,10,5,0.068,0.2325
17,social,timeout,0,25.129,210.49,8,12,10,0.223,0.1779
18,social,succeeded,0,37.638,111.33,9,16,1,0.221,0.2289
19,social,succeeded,0,32.221,82.16,5,6,0,0.602,0.2233
20,social,timeout,0,3.044,215.56,1,3,0,0.48,0.1191
21,social,succeeded,0,36.086,102.16,7,11,4,0.046,0.209
22,social,timeout,1,20.9,217.95,4,5,2,0.067,0.171
23,social,succeeded,0,36.517,102.41,7,7,3,0.054,0.2087
24,social,succeeded,0,32.446,126.68,11,16,6,0.017,0.2109
25,social,succeeded,0,32.357,115.38,8,13,7,0.291,0.1915
1,social_astar,succeeded,0,37.485,140.53,10,15,7,0.067,0.2761
2,social_astar,succeeded,0,34.238,115.06,13,12,5,0.286,0.2807
3,social_astar,succeeded,1,37.444,103.74,6,8,3,0.19,0.2818
4,social_astar,timeout,0,26.104,263.24,9,12,8,0.217,0.1605
5,social_astar,succeeded,1,38.657,131.45,12,16,6,0.032,0.2231
6,social_astar,succeeded,0,32.31,126.63,14,18,6,0.125,0.2103
7,social_astar,timeout,0,2.972,289.62,3,6,1,0.104,0.1135
8,social_astar,succeeded,0,36.774,100.52,5,6,2,0.243,0.2114
9,social_astar,succeeded,0,33.782,82.91,7,8,1,0.391,0.2379
10,social_astar,succeeded,0,32.21,113.68,8,11,10,0.24,0.1933
11,social_astar,succeeded,0,32.788,87.19,8,14,6,0.063,0.2593
12,social_astar,succeeded,0,32.574,126.89,11,15,9,0.09,0.2236
13,social_astar,succeeded,1,36.489,101.15,4,9,0,0.545,0.2069
14,social_astar,timeout,0,24.716,300.69,13,17,9,0.144,0.1497
15,social_astar,succeeded,0,37.045,170.39,21,21,13,0.011,0.2069
16,social_astar,succeeded,1,36.562,99.23,4,10,3,0.203,0.1936
17,social_astar,succeeded,0,32.594,92.38,11,14,6,0.224,0.1993
18,social_astar,succeeded,0,32.088,112.97,8,12,7,0.166,0.1785
19,social_astar,succeeded,0,32.595,126.49,11,16,7,0.043,0.1649
20,social_astar,succeeded,0,32.791,101.03,11,10,6,0.015,0.193
21,social_astar,succeeded,0,34.259,100.18,7,18,11,0.102,0.1894
22,social_astar,succeeded,0,32.865,113.59,8,11,4,0.293,0.183
23,social_astar,succeeded,0,32.398,103.87,9,14,3,0.134,0.1765
24,social_astar,succeeded,0,33.876,101.5,9,10,5,0.094,0.1958
25,social_astar,succeeded,0,35.209,100.55,9,9,4,0.034,0.192
1,dstar_social,timeout,0,37.139,217.74,23,31,7,0.101,0.284
2,dstar_social,succeeded,0,40.477,142.41,13,16,10,0.134,0.2675
3,dstar_social,succeeded,0,32.436,82.49,4,8,2,0.06,0.2026
4,dstar_social,succeeded,0,32.771,103.36,11,11,7,0.179,0.2539
5,dstar_social,succeeded,0,34.059,93.33,9,20,6,0.018,0.2293
6,dstar_social,succeeded,1,39.92,109.78,7,10,0,0.457,0.1837
7,dstar_social,succeeded,0,32.495,85.11,9,10,6,0.23,0.2006
8,dstar_social,succeeded,0,33.213,135.16,13,20,4,0.074,0.1958
9,dstar_social,succeeded,0,32.305,126.14,10,16,7,0.126,0.1963
10,dstar_social,succeeded,0,32.61,100.39,6,8,1,0.39,0.2264
11,dstar_social,succeeded,0,33.14,94.32,11,12,5,0.166,0.2071
12,dstar_social,succeeded,0,33.169,127.11,11,15,5,0.03,0.1788
13,dstar_social,succeeded,1,39.325,101.03,6,11,3,0.054,0.1932
14,dstar_social,succeeded,0,32.735,116.24,9,12,7,0.09,0.1596
15,dstar_social,succeeded,0,32.43,80.72,6,7,0,0.487,0.1675
16,dstar_social,succeeded,0,33.09,92.49,9,10,6,0.061,0.1935
17,dstar_social,succeeded,0,32.495,79.81,4,8,1,0.389,0.1595
18,dstar_social,succeeded,1,36.364,92.68,9,11,2,0.067,0.1851
19,dstar_social,succeeded,0,32.617,81.12,6,7,0,0.473,0.1677
20,dstar_social,succeeded,0,32.843,89.85,7,11,17,0.275,0.1984
21,dstar_social,succeeded,0,32.455,100.84,7,11,6,0.063,0.1698
22,dstar_social,succeeded,0,32.895,82.17,7,8,2,0.283,0.1847
23,dstar_social,succeeded,0,33.86,99.29,6,8,6,0.085,0.2121
24,dstar_social,succeeded,0,32.679,102.74,8,14,6,0.063,0.1845
25,dstar_social,timeout,0,26.038,297.81,15,53,6,0.128,0.1156
